Mfr Part Number (Input),Manufacturer Part Number,Mouser Part Number,Manufacturer Name,Description,Quantity 1,Unit Price 1,Quantity 2,Unit Price 2,Quantity 3,Unit Price 3,Quantity 4,Unit Price 4,Quantity 5,Unit Price 5,Order Quantity,Order Unit Price,Min./Mult.,Availability,Lead Time in Days,Lifecycle,NCNR,RoHS,Pb Free,Package Type,Datasheet URL,Product Image,Design Risk
,744766904,,,L1 L1,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/445/744766904-709959.pdf,,
,C0805C220J5GACTU,,,C1 C1 C2,2,,,,,,,,,,,,,,,,,,,,https://search.kemet.com/component-edge/download/datasheet/C0805C220J5GACTU.pdf,,
,CC0805ZRY5V9BB104,,,C3 C3 C4 C5 C6 CRGB8 CRGB9 CRGB10 CRGB0 CRGB1 CRGB2 CRGB3 CRGB4 CRGB5 CRGB6 CRGB7,15,,,,,,,,,,,,,,,,,,,,http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf,,
,GRM21BR61E475KA12L,,,C7 C7,1,,,,,,,,,,,,,,,,,,,,http://psearch.en.murata.com/capacitor/product/GRM21BR61E475KA12%23.pdf,,
,TL3342F160QG/TR,,,SW1 SW1,1,,,,,,,,,,,,,,,,,,,,https://www.e-switch.com/system/asset/product_line/data_sheet/165/TL3342.pdf,,
,CR0805-JW-103ELF,,,R1 R1 R2,2,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/54/chpreztr-977002.pdf,,
,ATMEGA32U4-MU,,,U0 U0,1,,,,,,,,,,,,,,,,,,,,http://www.atmel.com/Images/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf,,
,105017-0001,,,J1 J1,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/276/1050170001_IO_CONNECTORS-230168.pdf,,
,CR0805-JW-220ELF,,,R3 R3 R4,2,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/54/chpreztr-977002.pdf,,
,CC0805KKX7R7BB105,,,C8 C8,1,,,,,,,,,,,,,,,,,,,,http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,,
,53048-1010,,,P1 P1 P2,2,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/276/0530481010_PCB_HEADERS-146506.pdf,,
,ABM7-16.000MHZ-D2Y-T,,,Y1 Y1,1,,,,,,,,,,,,,,,,,,,,http://www.abracon.com/Resonators/abm7.pdf,,
,CC0805ZKY5V7BB106,,,C10 C10 C11,2,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/447/Yageo_UPY-GP_NP0_16V-to-50V_9-358835.pdf,,
,PAM2804AAB010,,,U1 U1,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/115/PAM2804-247271.pdf,,
,RL0805FR-7W0R5L,,,R5 R5,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/447/PYu-RL_Group_521_RoHS_L_2-1131815.pdf,,
,LR T68F-U1AA-1-1-Z,,,LD1 LD1,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/311/LR%20T68F%20-%20TOPLED-318599.pdf,,
,CR0805-FX-4701ELF,,,R6 R6 R8 R7,3,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/54/chpreztr-977002.pdf,,
,61300311021,,,J3 J3,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/445/6130xx11021-538004.pdf,,
,MX1A-C1NW,,,K340 K340 K440 K840 K341 K841 K0 K100 K200 K300 K400 K500 K600 K700 K800 K900 KA0 KB0 KC0 KD0 KD1 K10 K110 K210 K310 K410 K510 K610 K710 K810 K910 KA10 KB10 KC10 KD10 K20 K120 K220 K320 K420 K520 K620 K720 K820 K920 KA20 KB20 KC20 KD21 KD22 K21 K30 K130 K230 K330 K430 K530 K630 K730 K830 K930 KA30 KB30 KC30 KD30 KC32 K31 K40 K41 K140 K141 K240 K640 K641 K642 K940 KA40 KB40 KB41 KB42 KC40 K4C1 KD40 KD41 K241 KD20 KD31 KC31 KA41 K540 K740 K643,91,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/71/mx_cat-526196.pdf,,
,CC1206ZKY5V9BB225,,,C9 C9,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/447/Yageo_UPY-GP_NP0_16V-to-50V_9-358835.pdf,,
,RC0805FR-07100KL,,,R9 R9,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-968729.pdf,,
,53048-0510,,,P3 P3,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/276/0530480510_PCB_HEADERS-170992.pdf,,
,COM-13667,,,RGB8 RGB8 RGB9 RGB10 RGB0 RGB1 RGB2 RGB3 RGB4 RGB5 RGB6 RGB7,11,,,,,,,,,,,,,,,,,,,,,,
,53048-0310,,,J2 J2,1,,,,,,,,,,,,,,,,,,,,http://www.mouser.com/ds/2/276/0530480310_PCB_HEADERS-171011.pdf,,
